buyingprice,maintprice,doors,persons,lug_boot,safety,recommend,,frekuensi,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,small,med,unacc,,recommend,buypr_vhigh,buypr_high,buypr_med,buypr_low,maintpr_vhigh,maintpr_high,maintpr_med,maintpr_low,doors_2,doors_3,doors_4,doors_5more,persons_2,persons_4,persons_more,lgboot_sm,lgboot_med,lgboot_big,safety_low,safety_med,safety_high,total
vhigh,vhigh,2,2,small,high,unacc,,unacc,360,324,268,258,360,314,268,268,326,300,292,292,576,312,322,450,392,368,576,357,277,1210
vhigh,vhigh,2,2,med,low,unacc,,acc,72,108,115,89,72,105,115,92,81,99,102,102,0,198,186,105,135,144,0,180,204,384
vhigh,vhigh,2,2,med,med,unacc,,good,0,0,23,46,0,0,23,46,15,18,18,18,0,36,33,21,24,24,0,39,30,69
vhigh,vhigh,2,2,med,high,unacc,,vgood,0,0,26,0,0,13,26,26,0,15,20,20,0,30,35,0,25,40,0,0,65,65
vhigh,vhigh,2,2,big,low,unacc,,,432,432,432,393,432,432,432,432,422,432,432,432,576,576,576,576,576,576,576,576,576,1728
vhigh,vhigh,2,2,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,big,high,unacc,,Prior,,,,,,,,likelihood,,,,,,,,P(buypr_vhigh|acc),,0.166666667,,P(persons_2|acc),,0
vhigh,vhigh,2,4,small,low,unacc,,P(unacc),0.700231481,,,,,,,P(buypr_vhigh|unacc),,0.833333333,,P(persons_2|unacc),,1,,P(buypr_high|acc),,0.25,,P(persons_4|acc),,0.34375
vhigh,vhigh,2,4,small,med,unacc,,P(acc),0.222222222,,,,,,,P(buypr_high|unacc),,0.75,,P(persons_4|unacc),,0.541666667,,P(buypr_med|acc),,0.266203704,,P(persons_more|acc),,0.322916667
vhigh,vhigh,2,4,small,high,unacc,,P(good),0.039930556,,,,,,,P(buypr_med|unacc),,0.62037037,,P(persons_more|unacc),,0.559027778,,P(buypr_low|acc),,0.226463104,,P(lgboot_small|acc),,0.182291667
vhigh,vhigh,2,4,med,low,unacc,,P(vgood),0.037615741,,,,,,,P(buypr_low|unacc),,0.65648855,,P(lgboot_small|unacc),,0.78125,,P(maintpr_vhigh|acc),,0.166666667,,P(lgboot_med|acc),,0.234375
vhigh,vhigh,2,4,med,med,unacc,,,,,,,,,,P(maintpr_vhigh|unacc),,0.833333333,,P(lgboot_med|unacc),,0.680555556,,P(maintpr_high|acc),,0.243055556,,P(lgboot_big|acc),,0.25
vhigh,vhigh,2,4,med,high,unacc,,evidence,,,,,,,,P(maintpr_high|unacc),,0.726851852,,P(lgboot_big|unacc),,0.638888889,,P(maintpr_med|acc),,0.266203704,,P(safety_low|acc),,0
vhigh,vhigh,2,4,big,low,unacc,,P(buypr_vhigh),,0.25,,P(persons_2),,0.333333333,,P(maintpr_med|unacc),,0.62037037,,P(safety_low|unacc),,1,,P(maintpt_low|acc),,0.212962963,,P(safety_med|acc),,0.3125
vhigh,vhigh,2,4,big,med,unacc,,P(buypr_high),,0.25,,P(persons_4),,0.333333333,,P(maintpt_low|unacc),,0.62037037,,P(safety_med|unacc),,0.619791667,,P(doors_2|acc),,0.191943128,,P(safety_high|acc),,0.354166667
vhigh,vhigh,2,4,big,high,unacc,,P(buypr_med),,0.25,,P(persons_more),,0.333333333,,P(doors_2|unacc),,0.772511848,,P(safety_high|unacc),,0.480902778,,P(doors_3|acc),,0.229166667,,,,
vhigh,vhigh,2,more,small,low,unacc,,P(buypr_low),,0.227430556,,P(lgboot_small),,0.333333333,,P(doors_3|unacc),,0.694444444,,,,,,P(doors_4|acc),,0.236111111,,,,
vhigh,vhigh,2,more,small,med,unacc,,P(maintpr_vhigh),,0.25,,P(lgboot_med),,0.333333333,,P(doors_4|unacc),,0.675925926,,,,,,P(doors_5more|acc),,0.236111111,,,,
vhigh,vhigh,2,more,small,high,unacc,,P(maintpr_high),,0.25,,P(lgboot_big),,0.333333333,,P(doors_5more|unacc),,0.675925926,,,,,,,,,,,,
vhigh,vhigh,2,more,med,low,unacc,,P(maintpr_med),,0.25,,P(safety_low),,0.333333333,,,,,,,,,,,,,,,,
vhigh,vhigh,2,more,med,med,unacc,,P(maintpt_low),,0.25,,P(safety_med),,0.333333333,,P(buypr_vhigh|good),,0,,P(persons_2|good),,0,,P(buypr_vhigh|vgood),,0,,P(persons_2|vgood),,0
vhigh,vhigh,2,more,med,high,unacc,,P(doors_2),,0.244212963,,P(safety_high),,0.333333333,,P(buypr_high|good),,0,,P(persons_4|good),,0.0625,,P(buypr_high|vgood),,0,,P(persons_4|vgood),,0.052083333
vhigh,vhigh,2,more,big,low,unacc,,P(doors_3),,0.25,,,,,,P(buypr_med|good),,0.053240741,,P(persons_more|good),,0.057291667,,P(buypr_med|vgood),,0.060185185,,P(persons_more|vgood),,0.060763889
vhigh,vhigh,2,more,big,med,unacc,,P(doors_4),,0.25,,,,,,P(buypr_low|good),,0.117048346,,P(lgboot_small|good),,0.036458333,,P(buypr_low|vgood),,0,,P(lgboot_small|vgood),,0
vhigh,vhigh,2,more,big,high,unacc,,P(doors_5more),,0.25,,,,,,P(maintpr_vhigh|good),,0,,P(lgboot_med|good),,0.041666667,,P(maintpr_vhigh|vgood),,0,,P(lgboot_med|vgood),,0.043402778
vhigh,vhigh,3,2,small,low,unacc,,,,,,,,,,P(maintpr_high|good),,0,,P(lgboot_big|good),,0.041666667,,P(maintpr_high|vgood),,0.030092593,,P(lgboot_big|vgood),,0.069444444
vhigh,vhigh,3,2,small,med,unacc,,,,,,,,,,P(maintpr_med|goodc),,0.053240741,,P(safety_low|good),,0,,P(maintpr_med|vgood),,0.060185185,,P(safety_low|vgood),,0
vhigh,vhigh,3,2,small,high,unacc,,,,,,,,,,P(maintpt_low|good),,0.106481481,,P(safety_med|good),,0.067708333,,P(maintpt_low|vgood),,0.060185185,,P(safety_med|vgood),,0
vhigh,vhigh,3,2,med,low,unacc,,,,,,,,,,P(doors_2|good),,0.035545024,,P(safety_high|good),,0.052083333,,P(doors_2|vgood),,0,,P(safety_high|vgood),,0.112847222
vhigh,vhigh,3,2,med,med,unacc,,,,,,,,,,P(doors_3|good),,0.041666667,,,,,,P(doors_3|vgood),,0.034722222,,,,
vhigh,vhigh,3,2,med,high,unacc,,,,,,,,,,P(doors_4|good),,0.041666667,,,,,,P(doors_4|vgood),,0.046296296,,,,
vhigh,vhigh,3,2,big,low,unacc,,,,,,,,,,P(doors_5more|good),,0.041666667,,,,,,P(doors_5more|vgood),,0.046296296,,,,
vhigh,vhigh,3,2,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,2,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,small,low,unacc,,"prediksi jika (buypr_low maintpr_med, doors_4, persons_more, lgboot_med, safety_med), masuk kategori apakah mobil tersebut untuk dibeli oleh user?",,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,small,high,unacc,,unacc,,,,acc,,,,good,,,,vgood,,,,,,,,,,
vhigh,vhigh,3,4,med,low,unacc,,total likelihood ,,0.064911256,,total lilelihood,,0.000336651,,total lilelihood,,4.19682E-08,,total lilelihood,,0,,,,,,,,
vhigh,vhigh,3,4,med,med,unacc,,total evidence,,0.00052646,,total evidence,,0.00052646,,total evidence,,0.00052646,,total evidence,,0.00052646,,,,,,,,
vhigh,vhigh,3,4,med,high,unacc,,predict,,86.33692542,,,,0.142102645,,,,3.18318E-06,,,,0,,,,,,,,
vhigh,vhigh,3,4,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,big,med,unacc,,"jadi, mobil tersebut masuk ke kategori unacc",,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,4,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,3,more,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,2,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,4,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,4,more,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,2,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,4,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,5more,more,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,2,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,4,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,2,more,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,2,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,4,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,3,more,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,2,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,4,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,4,more,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,2,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,4,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,med,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,med,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,med,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,big,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,high,5more,more,big,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,med,2,2,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,med,2,2,small,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,med,2,2,small,high,unacc,,,,,,,,,,,,,,,,,,,,,,,,
